MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Avià	1.756	1.351	1.349	2	1.304	30	15						
Bagà	1.831	1.081	1.055	26	1.002	44	9						
Berga	12.212	7.935	7.847	88	7.522	240	85						
Borredà	386	444	434	10	278	153	3						
Capolat	73	72	72	0	71	1	0						
Casserres	1.293	971	965	6	929	19	17						
Castell	de	l'Areny	60	53	53	0	53	0	0				
Castellar	de	n'Hug	141	263	261	2	243	16	2				
Castellar	del	Riu	141	156	151	5	144	3	4				
Cercs	1.005	689	670	19	635	25	10						
Fígols	34	66	65	1	61	3	1						
Gironella	3.736	2.345	2.321	24	2.227	76	18						
Gisclareny	27	102	102	0	99	2	1						
Gósol	211	205	204	1	191	11	2						
Guardiola	de	Berguedà	749	584	583	1	552	24	7				
La	Nou	de	Berguedà	133	693	678	15	635	26	17			
La	Pobla	de	Lillet	991	34	34	0	34	0	0			
La	Quar	40	317	316	1	304	4	8					
L'Espunyola	219	148	148	0	139	3	6						
Montclar	95	123	123	0	121	1	1						
Montmajor	383	304	304	0	287	13	4						
Olvan	717	572	568	4	542	19	7						
Puig-reig	3.347	2.212	2.199	13	2.114	60	25						
Sagàs	115	311	306	5	288	11	7						
Saldes	256	455	453	2	425	20	8						
Sant	Jaume	de	Frontanyà	25	26	26	0	25	0	1			
Sant	Julià	de	Cerdanyola	214	207	207	0	201	3	3			
Santa	Maria	de	Merlès	134	356	352	4	332	13	7			
Vallcebre	219	261	261	0	246	14	1						
Vilada	391	364	364	0	326	24	14						
Viver	i	Serrateix	131	188	188	0	181	5	2				
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Alp	1.127	525	518	7	501	11	6						
Bellver	de	Cerdanya	1.527	1.098	1.092	6	1.032	39	21				
Bolvir	268	271	271	0	263	4	4						
Das	156	73	73	0	71	2	0						
Fontanals	de	Cerdanya	374	221	220	1	217	2	1				
Ger	336	183	182	1	174	4	4						
Guils	de	Cerdanya	417	246	242	4	232	7	3				
Isòvol	238	213	213	0	203	5	5						
Lles	de	Cerdanya	210	184	184	0	178	4	2				
Llívia	1.059	590	580	10	561	19	0						
Meranges	81	64	62	2	61	1	0						
Montellà	i	Martinet	467	319	318	1	304	9	5				
Prats	i	Sansor	186	262	260	2	239	14	7				
Prullans	162	258	256	2	243	7	6						
Puigcerdà	5.887	2.895	2.883	12	2.583	240	60						
Riu	de	Cerdanya	86	72	72	0	70	0	2				
Urús	146	535	534	1	505	15	14						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Barberà	de	la	Conca	357	354	352	2	337	11	4			
Blancafort	310	276	273	3	267	4	2						
Conesa	99	91	91	0	86	1	4						
Forès	45	-	-	-	-	-	-						
Les	Piles	162	144	143	1	137	5	1					
L'Espluga	de	Francolí	2.812	1.831	1.817	14	1.728	64	25				
Llorac	83	72	72	0	68	2	2						
Montblanc	5.249	3.514	3.496	18	3.293	162	41						
Passanant	i	Belltall	145	249	248	1	243	1	4				
Pira	383	262	260	2	237	16	7						
Pontils	106	102	99	3	94	5	0						
Rocafort	de	Queralt	195	141	141	0	135	4	2				
Santa	Coloma	de	Queralt	2.039	1.576	1.56	16	1.484	59	17			
Sarral	1.1	685	684	1	633	35	16						
Savallà	del	Comtat	54	68	68	0	65	2	1				
Senan	39	89	89	0	87	1	1						
Solivella	524	400	400	0	380	11	9						
Vallclara	85	99	99	0	95	3	1						
Vallfogona	de	Riucorb	81	207	207	0	189	16	2				
Vilanova	de	Prades	96	118	118	0	116	2	0				
Vilaverd	344	234	234	0	225	8	1						
Vimbodí	i	Poblet	785	592	589	3	565	19	5				
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Canyelles	3.201	1.339	1.321	18	1.163	126	32						
Cubelles	10.611	3.697	3.669	28	3.191	400	78						
Olivella	2.233	927	910	17	807	89	14						
Sant	Pere	de	Ribes	20.564	7.236	7.163	73	6.333	680	150			
Sitges	18.49	8.495	8.432	63	7.467	762	203						
Vilanova	i	la	Geltrú	48.295	21.743	21.622	121	19.39	1.788	444			
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Arbeca	1.655	1.184	1.17	14	1.135	25	10						
Bellaguarda	266	207	205	2	200	4	1						
Bovera	235	184	184	0	180	2	2						
Castelldans	719	445	444	1	405	26	13						
Cervià	de	les	Garrigues	582	440	439	1	422	11	6			
El	Cogul	145	142	142	0	138	3	1					
El	Soleràs	260	209	209	0	200	4	5					
El	Vilosell	159	160	160	0	151	8	1					
Els	Omellons	192	140	140	0	127	12	1					
Els	Torms	126	105	105	0	103	2	0					
Fulleda	84	70	70	0	64	0	6						
Granyena	de	les	Garrigues	125	113	112	1	104	8	0			
Juncosa	346	222	222	0	199	20	3						
Juneda	2.248	1.505	1.497	8	1.436	34	27						
La	Floresta	130	115	115	0	111	1	3					
La	Granadella	561	450	448	2	435	6	7					
La	Pobla	de	Cérvoles	173	135	133	2	127	4	2			
L'Albagés	340	193	190	3	185	5	0						
L'Albi	627	449	445	4	409	29	7						
Les	Borges	Blanques	4.357	2.442	2.423	19	2.34	62	21				
L'Espluga	Calba	308	280	271	9	254	5	12					
Puiggròs	234	269	268	1	255	12	1						
Tarrés	81	80	80	0	77	3	0						
Vinaixa	417	300	300	0	280	17	3						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Argelaguer	336	296	294	2	275	14	5						
Besalú	1.775	1.136	1.136	0	1.099	31	6						
Beuda	131	96	96	0	95	0	1						
Castellfollit	de	la	Roca	717	493	491	2	472	7	12			
La	Vall	de	Bianya	995	876	870	6	838	19	13			
La	Vall	d'en	Bas	2.375	2.31	2.288	22	2.218	30	40			
Les	Planes	d'Hostoles	1.255	906	895	11	878	7	10				
Les	Preses	1.364	1.111	1.102	9	1.065	27	10					
Maià	de	Montcal	301	204	203	1	202	0	1				
Mieres	247	299	296	3	280	6	10						
Montagut	i	Oix	696	560	554	6	529	10	15				
Olot	23.041	12.724	12.669	55	12.133	400	136						
Riudaura	364	546	543	3	533	4	6						
Sales	de	Llierca	92	185	185	0	178	3	4				
Sant	Aniol	de	Finestres	277	318	316	2	300	7	9			
